기간,공장,공정코드,기계코드,총_생산수량,총_양품수량,전체_수율(%),운영일수,이론상_총_생산량,가동률(%)
2023-01-01,A관(1공장),[00] 배합,조립2호기,1059.0,1059.0,100.0,1,0.0,0.0
2023-01-01,A관(1공장),[00] 배합,조립30호기,10000.0,10000.0,100.0,1,0.0,0.0
2023-01-01,A관(1공장),[00] 배합,조립32호기,5265.0,5265.0,100.0,1,0.0,0.0
2023-01-01,A관(1공장),[00] 배합,조립3호기,1024.0,1024.0,100.0,1,0.0,0.0
2023-01-01,A관(1공장),[00] 배합,조립4호기,2039.0,2039.0,100.0,1,0.0,0.0
2023-01-01,A관(1공장),[00] 배합,조립5호기,5115.0,5115.0,100.0,1,0.0,0.0
2023-01-01,A관(1공장),[00] 배합,조립7호기,5055.0,5055.0,100.0,1,0.0,0.0
2023-01-01,A관(1공장),[00] 배합,조립8호기,2969.0,2969.0,100.0,1,0.0,0.0
2023-01-01,S관(3공장),[00] 배합,A형 인라인4호기,3000.0,3000.0,100.0,1,0.0,0.0
2023-01-02,A관(1공장),[00] 배합,조립33호기,5000.0,5000.0,100.0,1,0.0,0.0
2023-01-02,A관(1공장),[00] 배합,조립5호기,3069.0,3069.0,100.0,1,0.0,0.0
2023-01-02,A관(1공장),[00] 배합,조립7호기,3033.0,3033.0,100.0,1,0.0,0.0
2023-01-02,A관(1공장),[00] 배합,조립8호기,5100.0,5100.0,100.0,1,0.0,0.0
2023-01-02,A관(1공장),[10] 사출조립,조립1호기,38200.0,37584.0,98.39,1,43200.0,88.43
2023-01-02,A관(1공장),[10] 사출조립,조립2호기,18780.0,15920.0,84.77,1,43200.0,43.47
2023-01-02,A관(1공장),[10] 사출조립,조립30호기,51914.0,50554.0,97.38,1,86400.0,60.09
2023-01-02,A관(1공장),[10] 사출조립,조립31호기,76892.0,71638.0,93.17,1,86400.0,89.0
2023-01-02,A관(1공장),[10] 사출조립,조립32호기,81606.0,77956.0,95.53,1,86400.0,94.45
2023-01-02,A관(1공장),[10] 사출조립,조립33호기,87700.0,86900.0,99.09,1,0.0,0.0
2023-01-02,A관(1공장),[10] 사출조립,조립3호기,18390.0,11130.0,60.52,1,43200.0,42.57
2023-01-02,A관(1공장),[10] 사출조립,조립4호기,18260.0,17400.0,95.29,1,43200.0,42.27
2023-01-02,A관(1공장),[10] 사출조립,조립5호기,17680.0,13940.0,78.85,1,43200.0,40.93
2023-01-02,A관(1공장),[10] 사출조립,조립6호기,28324.0,27718.0,97.86,1,43200.0,65.56
2023-01-02,A관(1공장),[10] 사출조립,조립7호기,35793.0,25978.0,72.58,1,43200.0,82.85
2023-01-02,A관(1공장),[10] 사출조립,조립8호기,34590.0,34590.0,100.0,1,43200.0,80.07
2023-01-02,A관(1공장),[20] 분리,분리10호기,8590.0,5491.0,63.92,1,17280.0,49.71
2023-01-02,A관(1공장),[20] 분리,분리11호기,17323.0,13730.0,79.26,1,17280.0,100.25
2023-01-02,A관(1공장),[20] 분리,분리14호기,54825.0,36857.0,67.23,1,54000.0,101.53
2023-01-02,A관(1공장),[20] 분리,분리2호기,13480.0,9041.0,67.07,1,0.0,0.0
2023-01-02,A관(1공장),[20] 분리,분리3호기,20055.0,16099.0,80.27,1,17280.0,116.06
2023-01-02,A관(1공장),[20] 분리,분리4호기,17434.0,10077.0,57.8,1,17280.0,100.89
2023-01-02,A관(1공장),[20] 분리,분리5호기,12293.0,9117.0,74.16,1,17280.0,71.14
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,1공장 실리콘수화기,9241.0,9241.0,100.0,1,0.0,0.0
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-1호기,300.0,0.0,0.0,1,30000.0,1.0
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-2호기,14720.0,14720.0,100.0,1,30000.0,49.07
2023-01-02,A관(1공장),[45] 하이드레이션/전면검사,워터배스1-3호기,9409.0,9409.0,100.0,1,30000.0,31.36
