기간,공장,공정코드,품명,신규분류요약,총_생산수량,총_양품수량,총_불량수량,전체_수율(%),로트별 종합수율
2026-01-03,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_소사각,FRP_Sph,5527.0,5527.0,0.0,100.0,
2026-01-03,A관(1공장),[45] 하이드레이션/전면검사,Metha_55_원형,FRP_Sph,10966.0,10966.0,0.0,100.0,
2026-01-03,A관(1공장),[45] 하이드레이션/전면검사,S55_소사각,FRP_Sph,10362.0,10362.0,0.0,100.0,
2026-01-03,A관(1공장),[45] 하이드레이션/전면검사,T38_금캡,FRP_Toric,447.0,447.0,0.0,100.0,
2026-01-03,A관(1공장),[45] 하이드레이션/전면검사,T38_금캡(UV포함),FRP_Toric,1941.0,1941.0,0.0,100.0,
2026-01-03,A관(1공장),[45] 하이드레이션/전면검사,T55_소사각,FRP_Toric,497.0,497.0,0.0,100.0,
2026-01-05,A관(1공장),[10] 사출조립,1-Day_Metha,1-Day_Sph,15796.0,15716.0,0.0,99.49,
2026-01-05,A관(1공장),[10] 사출조립,1-day_58_Kontaktni-HA,1-Day_Sph,104886.0,104486.0,0.0,99.62,
2026-01-05,A관(1공장),[10] 사출조립,T55_소사각,FRP_Toric,4918.0,3623.0,1215.0,73.67,
2026-01-05,A관(1공장),[10] 사출조립,O2O2 D_UV_Toric_SMD,Si_1-Day_Toric,2430.0,2058.0,292.0,84.69,
2026-01-05,A관(1공장),[20] 분리,1-Day_Metha,1-Day_Sph,3960.0,3403.0,557.0,85.93,
2026-01-05,A관(1공장),[20] 분리,T55_소사각,FRP_Toric,607.0,558.0,49.0,91.93,
2026-01-05,A관(1공장),[45] 하이드레이션/전면검사,Advance_EO_소사각,FRP_Color_Sph,2673.0,2673.0,0.0,100.0,
2026-01-05,A관(1공장),[45] 하이드레이션/전면검사,Almond Poodle_PIA_M_(중)(Y),FRP_Color_Sph,1884.0,1884.0,0.0,100.0,
2026-01-05,A관(1공장),[45] 하이드레이션/전면검사,Baby Espresso_PIA_M_중사각(Y),FRP_Color_Sph,2000.0,2000.0,0.0,100.0,
